5162092,5
28217012,1
30369371,3
71480935,4.25
72119527,5
76163997,3
007742817X,5
77431618,5
77451058,3.666666667
77563387,1
78206154,4
78602688,4.5
78674166,5
78888794,1
130462861,1
130653934,3
130852414,1
131431285,1
131817949,3
133189376,5
133727866,5
133902641,4.333333333
133928071,5
134084314,4
013446950X,4.333333333
136087418,5
193270390,2
198612605,5
201656302,4
205663338,4
310230683,5
310230691,3
310230713,5
310258294,3.666666667
310258928,5
321413849,3
321515129,5
321515145,5
321636864,2
321676475,2
032168057X,5
321700945,4.566666667
321719816,4.05
321719824,4.285714286
321786858,4.2
032186297X,3
321898338,4
321898362,4.166666667
321984544,5
032830767X,1
328431419,5
032881752X,1
395969271,2
439026008,3
439215498,5
439247926,1
439319005,4.5
439335280,3
439337011,5
439340071,3.666666667
043934302X,5
439381681,3.333333333
439430321,5
439455049,4.5
043945669X,3
439465699,5
439468973,5
439516935,2
439574552,3
043966375X,2
439697298,3
439697301,3
439702208,5
439740207,5
439797772,5
439799643,5
439801494,5
439827442,1
043983595X,3
439860776,3
439903343,3.833333333
043990336X,3
439925088,3
495018856,1
500100160,1
053419608X,5
545036976,5
545090725,5
054522232X,3
547353235,1
547799179,1
547799195,2.5
563313900,4
578456435,5
615179088,4.552380952
061591067X,3
618570055,5
619172355,5
669527408,2
671573055,3
671573535,5
672309963,1
683404997,3
692538232,5
739064517,1
740311395,2
074031176X,5
740311808,4.5
740314548,5
740317407,5
074032411X,3.333333333
740328980,4.666666667
740337858,5
751315214,5
758615515,5
763002240,5
763016179,3
789445352,5
791125572,3
791128784,3
793563852,5
801002699,3
082192866X,5
082308759X,5
825159938,4.5
828020426,5
838447384,2.6
852299265,5
871770261,5
873374770,3.75
087337942X,5
877794618,4.5
877794723,4
879392460,1
879392738,5
879392908,4.666666667
879392991,2.666666667
879393629,4.5
879394021,5
879394633,3
087939577X,5
879396067,5
089455686X,2
894556916,4
894556967,1
894556975,4
894557319,5
894557416,5
894558374,4
894558749,4
899334741,4
899335969,5
899335985,5
916489795,5
925182303,3.666666667
944205445,5
952892294,2
953755762,4
954704274,5
095473016X,5
095545994X,4.407407407
955909619,3.6
962408050,5
096467050X,4.5
965957519,2
966674006,1
966758943,3
966796233,1
966965671,2
967219558,5
970477104,4.25
971275238,4.333333333
097129593X,3
971479801,4.875
971479828,5
971511438,5
971562431,3
971832617,5
971832625,1
974667315,3.333333333
974708038,3.8
974805521,4
976422026,3
097680428X,3.666666667
976888602,4.25
976963027,3.074074074
097702220X,5
977022242,2.666666667
097848200X,4
979371708,4
979379652,5
979965179,1
980419077,4
980419093,3
981602908,5
981766005,2.375
981795870,5
981958516,5
981958524,3.5
981958532,5
981958540,3
982176813,2
982176848,5
982176864,5
982176872,3
982176880,2.5
982269625,3.454545455
982269633,3
982291221,1
982291248,3
982291256,5
982582005,3.333333333
982583834,3.666666667
